country_name,happiness_score,gdp,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Afghanistan,1.446,,0.368,55.2,0.228,,0.738,0.261,0.46
Albania,5.445,9.689,0.691,69.2,0.872,0.068,0.855,0.597,0.314
Argentina,6.393,9.994,0.892,67.3,0.832,-0.129,0.846,0.72,0.301
Armenia,5.679,9.73,0.819,68.2,0.819,-0.179,0.681,0.575,0.423
Australia,7.025,10.846,0.896,71.2,0.876,0.187,0.482,0.731,0.248
Austria,6.636,10.93,0.874,71.4,0.874,0.209,0.529,0.712,0.24
Azerbaijan,5.214,9.637,0.713,64.1,0.829,-0.16,0.627,0.509,0.221
Bahrain,5.959,10.877,0.817,65.6,0.869,0.155,,0.671,0.336
Bangladesh,4.114,8.783,0.45,64.8,0.919,0.019,0.756,0.435,0.435
Belgium,6.944,10.883,0.896,71.2,0.87,0.065,0.522,0.725,0.245
Benin,4.42,8.174,0.398,56.7,0.786,-0.073,0.575,0.573,0.428
Bolivia,5.86,9.025,0.786,63.9,0.832,-0.059,0.877,0.753,0.401
Bosnia and Herzegovina,6.009,9.759,0.879,67.4,0.847,0.241,0.948,0.579,0.249
Botswana,3.332,9.673,0.701,55.0,0.741,-0.264,0.814,0.657,0.247
Brazil,6.553,9.635,0.856,66.1,0.87,-0.036,0.733,0.694,0.313
Bulgaria,5.59,10.273,0.935,66.7,0.754,-0.131,0.948,0.539,0.192
Burkina Faso,4.462,7.693,0.58,56.4,0.715,0.105,0.65,0.639,0.346
Cambodia,4.221,8.462,0.738,62.3,0.961,0.07,0.799,0.683,0.394
Cameroon,4.946,8.238,0.716,57.2,0.739,-0.028,0.855,0.588,0.356
Canada,6.841,10.794,0.902,71.5,0.847,0.196,0.468,0.726,0.304
Chad,4.544,7.254,0.609,53.5,0.586,0.138,0.755,0.541,0.467
Chile,6.23,10.155,0.874,70.6,0.815,-0.027,0.836,0.779,0.263
China,6.145,9.861,0.797,69.0,0.793,-0.032,,0.708,0.21
Colombia,5.904,9.667,0.833,69.7,0.823,-0.142,0.87,0.754,0.285
Comoros,3.588,8.095,0.483,59.6,0.452,0.004,0.704,0.535,0.405
Congo (Brazzaville),4.954,8.086,0.561,57.5,0.702,-0.051,0.745,0.585,0.409
Congo (Kinshasa),3.383,7.076,0.572,55.8,0.687,0.152,0.837,0.546,0.497
Costa Rica,7.384,10.021,0.875,70.0,0.933,-0.067,0.767,0.806,0.282
Croatia,5.958,10.462,0.909,69.3,0.573,-0.205,0.81,0.61,0.23
Cyprus,6.071,,0.803,73.2,0.73,,0.84,0.682,0.297
Czechia,6.827,10.639,0.927,69.3,0.906,0.025,0.832,0.75,0.254
Denmark,7.504,10.996,0.916,71.5,0.923,0.089,0.184,0.757,0.229
Dominican Republic,5.921,9.9,0.86,64.8,0.867,-0.107,0.667,0.73,0.256
Ecuador,5.852,9.307,0.782,69.5,0.731,-0.106,0.84,0.763,0.359
Egypt,3.881,9.48,0.73,64.0,0.625,-0.21,,0.436,0.352
El Salvador,6.482,9.167,0.744,66.3,0.942,-0.104,0.496,0.812,0.318
Estonia,6.43,10.517,0.958,70.1,0.915,0.032,0.334,0.765,0.182
Ethiopia,4.093,7.809,0.67,61.5,0.631,0.212,0.8,0.538,0.299
Finland,7.699,10.808,0.947,71.3,0.943,-0.001,0.185,0.717,0.173
France,6.557,10.742,0.85,72.5,0.776,0.01,0.558,0.676,0.228
Gabon,5.104,9.554,0.735,58.9,0.722,-0.16,0.822,0.62,0.424
Gambia,4.691,7.686,0.651,58.2,0.727,0.43,0.852,0.719,0.291
Georgia,5.351,9.785,0.779,65.2,0.877,-0.268,0.706,0.542,0.231
Germany,6.792,10.878,0.895,71.7,0.845,0.106,0.46,0.706,0.231
Ghana,4.298,8.61,0.661,59.5,0.834,0.093,0.892,0.638,0.254
Greece,5.796,10.387,0.818,71.4,0.589,-0.223,0.805,0.608,0.311
Guatemala,6.421,9.14,0.796,63.1,0.873,-0.049,0.812,0.843,0.303
Guinea,4.827,7.932,0.577,55.1,0.743,0.187,0.791,0.652,0.516
Honduras,5.861,8.67,0.731,64.7,0.878,0.079,0.784,0.767,0.285
Hungary,5.965,10.473,0.954,67.8,0.755,-0.002,0.847,0.673,0.189
Iceland,7.562,10.934,0.979,72.1,0.918,0.299,0.697,0.793,0.185
India,4.676,8.919,0.633,61.5,0.9,0.121,0.77,0.699,0.389
Indonesia,5.695,9.466,0.781,63.3,0.9,0.59,0.866,0.814,0.289
Iran,5.004,9.651,0.809,66.9,0.615,0.254,0.764,0.533,0.425
Iraq,5.475,9.093,0.734,64.6,0.658,-0.017,0.851,0.587,0.469
Ireland,6.817,11.676,0.921,71.5,0.903,0.182,0.373,0.742,0.245
Israel,6.783,10.707,0.952,73.0,0.797,0.146,0.636,0.484,0.516
Italy,6.245,10.703,0.851,72.2,0.699,-0.053,0.819,0.636,0.293
Ivory Coast,5.337,8.656,0.623,57.1,0.753,-0.057,0.676,0.67,0.307
Japan,5.91,10.654,0.842,74.6,0.777,-0.222,0.594,0.638,0.178
Jordan,4.292,9.151,0.721,67.6,0.754,-0.143,0.651,0.518,0.442
Kazakhstan,6.299,10.172,0.929,66.6,0.901,0.05,0.812,0.626,0.114
Kenya,4.496,8.523,0.703,59.3,0.736,0.316,0.8,0.756,0.245
Kosovo,6.878,9.48,0.807,,0.9,0.285,0.811,0.682,0.14
Kuwait,7.13,10.812,0.89,70.0,0.898,0.136,,0.729,0.207
Kyrgyzstan,5.91,8.573,0.946,67.9,0.943,0.145,0.899,0.681,0.165
Laos,5.486,9.005,0.678,61.7,0.904,0.099,0.724,0.679,0.335
Latvia,6.296,10.408,0.932,66.6,0.816,0.059,0.8,0.671,0.257
Lebanon,3.588,9.471,0.686,66.3,0.499,-0.102,0.895,0.373,0.385
Liberia,4.494,7.309,0.63,57.3,0.72,0.039,0.834,0.608,0.428
Libya,5.97,,0.748,66.1,0.762,,0.644,0.585,0.372
Lithuania,6.553,10.575,0.881,68.1,0.734,-0.232,0.751,0.493,0.201
Luxembourg,7.016,11.649,0.879,71.7,0.911,0.033,0.343,0.751,0.194
Madagascar,4.433,7.333,0.692,58.3,0.504,0.096,0.784,0.718,0.389
Malawi,3.272,7.279,0.47,59.3,0.738,0.014,0.745,0.52,0.338
Malaysia,5.868,10.283,0.779,65.6,0.965,0.154,0.754,0.761,0.195
Mali,4.37,7.673,0.641,56.2,0.776,-0.043,0.79,0.66,0.324
Malta,6.295,,0.912,71.7,0.851,,0.78,0.644,0.361
Mauritania,4.292,8.62,0.606,60.7,0.54,0.018,0.669,0.708,0.329
Mauritius,5.759,10.083,0.868,63.8,0.797,-0.002,0.769,0.664,0.16
Mexico,7.006,9.9,0.868,65.8,0.87,-0.124,0.756,0.809,0.233
Moldova,5.801,9.492,0.842,66.1,0.844,-0.157,0.86,0.578,0.251
Mongolia,5.58,9.433,0.938,60.7,0.699,0.22,0.871,0.545,0.197
Montenegro,5.813,10.041,0.853,67.4,0.799,-0.066,0.706,0.481,0.318
Morocco,4.487,9.009,0.5,64.1,0.821,-0.094,0.831,0.549,0.415
Mozambique,5.704,7.147,0.701,52.2,0.867,0.071,0.678,0.625,0.335
Myanmar,4.391,8.347,0.685,62.2,0.695,0.548,0.686,0.634,0.358
Namibia,5.055,9.167,0.852,57.6,0.674,-0.113,0.873,0.635,0.208
Nepal,5.389,8.318,0.749,62.4,0.765,0.184,0.792,0.461,0.35
Netherlands,7.255,10.977,0.915,71.7,0.847,0.223,0.424,0.693,0.202
New Zealand,6.976,10.72,0.933,70.5,0.877,0.181,0.304,0.738,0.229
Nicaragua,6.362,8.685,0.836,65.8,0.906,-0.008,0.532,0.772,0.34
Niger,4.609,7.181,0.638,56.9,0.767,0.029,,0.747,0.417
Nigeria,4.869,8.514,0.781,55.7,0.72,0.209,0.877,0.721,0.266
North Macedonia,5.403,9.776,0.883,66.9,0.738,0.123,0.917,0.517,0.272
Norway,7.249,11.125,0.952,71.6,0.938,0.219,0.245,0.756,0.228
Pakistan,4.549,8.588,0.553,58.0,0.661,0.07,0.889,0.504,0.417
Panama,6.543,10.455,0.887,69.1,0.852,-0.147,0.871,0.829,0.257
Paraguay,6.214,9.549,0.889,66.0,0.902,-0.004,0.835,0.833,0.24
Peru,5.936,9.459,0.787,70.2,0.757,-0.061,0.919,0.765,0.37
Philippines,6.184,9.102,0.796,62.1,0.932,-0.038,0.768,0.8,0.324
Poland,6.685,10.527,0.89,69.4,0.775,-0.232,0.662,0.556,0.155
Portugal,5.954,10.504,0.895,71.5,0.847,-0.176,0.889,0.661,0.309
Romania,6.489,10.431,0.826,67.3,0.849,-0.202,0.905,0.628,0.271
Russia,5.865,10.209,0.854,65.7,0.75,0.056,0.733,0.616,0.19
Saudi Arabia,6.953,10.829,0.884,64.8,,0.028,,0.737,0.24
Senegal,5.093,8.2,0.668,60.6,0.798,0.048,0.836,0.825,0.258
Serbia,6.441,9.961,0.895,67.4,0.807,0.085,0.782,0.526,0.206
Sierra Leone,3.467,7.412,0.601,56.1,0.694,0.101,0.866,0.504,0.43
Singapore,6.654,,0.916,74.0,0.861,,0.153,0.667,0.19
Slovakia,6.261,10.425,0.941,69.4,0.753,-0.136,0.825,0.647,0.235
Slovenia,6.746,10.664,0.911,71.4,0.931,0.031,0.75,0.615,0.256
South Africa,5.076,9.503,0.839,58.3,0.748,-0.109,0.861,0.708,0.255
South Korea,6.112,10.742,0.799,74.2,0.762,-0.004,0.714,0.603,0.245
Spain,6.456,10.609,0.912,72.6,0.779,-0.004,0.675,0.655,0.325
Sri Lanka,3.602,9.364,0.79,67.4,0.754,0.05,0.922,0.709,0.353
State of Palestine,4.851,,0.831,,0.708,,0.808,0.58,0.378
Sweden,7.161,10.902,0.927,72.4,0.926,0.147,0.253,0.739,0.194
Switzerland,6.969,11.169,0.904,73.3,0.891,0.104,0.247,0.745,0.185
Taiwan Province of China,6.655,,0.872,,0.795,,0.641,0.748,0.111
Tajikistan,5.379,8.371,0.871,62.6,,-0.054,0.482,0.638,0.231
Tanzania,4.042,7.893,0.663,60.3,0.862,0.122,0.609,0.702,0.21
Thailand,6.282,9.807,0.873,68.6,0.926,0.338,0.889,0.811,0.217
Togo,4.365,7.725,0.547,58.2,0.665,-0.071,0.685,0.546,0.362
Tunisia,4.505,9.282,0.702,67.1,0.482,-0.226,0.882,0.461,0.364
Tï¿½rkiye,5.463,10.429,0.86,69.1,0.523,-0.159,0.748,0.344,0.349
Uganda,4.467,7.759,0.827,60.1,0.848,0.067,0.912,0.726,0.376
Ukraine,4.672,9.423,0.839,64.8,0.772,0.37,0.922,0.49,0.385
United Arab Emirates,6.728,11.236,0.776,66.6,0.886,0.155,,0.655,0.304
United Kingdom,6.658,10.759,0.886,70.5,0.874,0.27,0.49,0.719,0.272
United States,6.521,11.089,0.861,65.6,0.721,0.185,0.722,0.706,0.284
Uruguay,6.662,10.122,0.908,67.5,0.904,-0.05,0.662,0.753,0.265
Uzbekistan,6.385,9.026,0.909,65.9,0.927,0.247,0.65,0.752,0.202
Venezuela,5.765,,0.885,63.7,0.757,,0.825,0.758,0.3
Vietnam,6.325,9.392,0.845,65.7,0.956,-0.159,0.655,0.71,0.12
Yemen,3.532,,0.825,56.6,0.583,,0.771,0.447,0.341
Zambia,3.686,8.115,0.664,56.1,0.854,0.092,0.814,0.653,0.359
Zimbabwe,3.572,7.679,0.694,55.0,0.735,-0.069,0.757,0.61,0.179
